Direccion Std,Estatus,Latitud,Longitud
,No geocodificable,,
"0 0 4, Ventanilla",No geocodificable,No encontrado,No encontrado
"0 0 8, Bellavista",No geocodificable,No encontrado,No encontrado
"0 0 10, Ate",No geocodificable,No encontrado,No encontrado
"0 0 23, San Martin De Porres",No geocodificable,No encontrado,No encontrado
"0 0, Ate",No geocodificable,No encontrado,No encontrado
"0 1 42, Santa",No geocodificable,No encontrado,No encontrado
"0 11, Callao",No geocodificable,No encontrado,No encontrado
"0 17, Santa",No geocodificable,No encontrado,No encontrado
"0 19, Ventanilla",No geocodificable,No encontrado,No encontrado
"1 De Mayo Mz A Lte 8 S/N, Perene",No geocodificable,No encontrado,No encontrado
1 Oeste 45,No geocodificable,No encontrado,No encontrado
"1Erp 1, Amarilis",No geocodificable,No encontrado,No encontrado
"1Ro De Setiembre S/N 0, Ite",No geocodificable,No encontrado,No encontrado
"2 38, Trujillo",No geocodificable,No encontrado,No encontrado
"2 . 8, Bellavista",No geocodificable,No encontrado,No encontrado
"2 . 13, Bellavista",No geocodificable,No encontrado,No encontrado
"2 De Mayo 5 4, Anta",No geocodificable,No encontrado,No encontrado
"2 De Mayo 120, La Perla",No geocodificable,No encontrado,No encontrado
"2 De Mayo 128, Concepcion",No geocodificable,No encontrado,No encontrado
"2 De Mayo 390, Imperial",No geocodificable,No encontrado,No encontrado
"2 De Mayo 596, Saño",No geocodificable,No encontrado,No encontrado
2 De Mayo 1052,No geocodificable,No encontrado,No encontrado
"2 De Mayo 1081 6, La Perla",No geocodificable,No encontrado,No encontrado
"2 De Mayo S/N 0, San Luis",No geocodificable,No encontrado,No encontrado
"2 De Mayo S/N, Jacobo Hunter",No geocodificable,No encontrado,No encontrado
"3 De Abril 0 9, Callaria",No geocodificable,No encontrado,No encontrado
"3 Nov. Y Call Mantaro, Pangoa",No geocodificable,No encontrado,No encontrado
"4 0 7, Ventanilla",No geocodificable,No encontrado,No encontrado
"5 0 33, Ate",No geocodificable,No encontrado,No encontrado
"6 De Agosto 0 3, Pueblo Nuevo",No geocodificable,No encontrado,No encontrado
"6 De Agosto 0 4, Ventanilla",No geocodificable,No encontrado,No encontrado
6 De Agosto 543,No geocodificable,No encontrado,No encontrado
"6 De Enero 0, San Luis",No geocodificable,No encontrado,No encontrado
7 De Junio 0,No geocodificable,No encontrado,No encontrado
"7 Esquinas S/N, Espinar",No geocodificable,No encontrado,No encontrado
"8B, San Jeronimo",No geocodificable,No encontrado,No encontrado
"9 De Diciembre 123, Andres Avelino Cacer",No geocodificable,No encontrado,No encontrado
"9 De Diciembre Ocd1, Ambo",No geocodificable,No encontrado,No encontrado
"9 De Febrero 0 T4, Ventanilla",No geocodificable,No encontrado,No encontrado
"9 De Julio 419, Concepcion",No geocodificable,No encontrado,No encontrado
"9 De Julio 665, Concepcion",No geocodificable,No encontrado,No encontrado
"9 De Julio 702, Concepcion",No geocodificable,No encontrado,No encontrado
"9 De Julio S/N 0, Concepcion",No geocodificable,No encontrado,No encontrado
"9 De Octubre 0 2, Mala",No geocodificable,No encontrado,No encontrado
"9 De Octubre 0 3, Mala",No geocodificable,No encontrado,No encontrado
"9 De Octubre 0 22, Santa",No geocodificable,No encontrado,No encontrado
"01 De Mayo 0 14, Callaria",No geocodificable,No encontrado,No encontrado
"02 De Mayo  1285 ( Exbi 2, Bellavista",No geocodificable,No encontrado,No encontrado
"03 De Octubre 0, El Tambo",No geocodificable,No encontrado,No encontrado
"10 1005, Tuman",No geocodificable,No encontrado,No encontrado
"10 De Agosto, La Perla",No geocodificable,No encontrado,No encontrado
"10 De Octubre Cahuide N1078 0, La Perla",No geocodificable,No encontrado,No encontrado
"10 De Octubre S/N 0, Santa",No geocodificable,No encontrado,No encontrado
"10 Octubre Pto 5 0, La Perla",No geocodificable,No encontrado,No encontrado
"12 22, Ventanilla",No geocodificable,No encontrado,No encontrado
"13 De Julio 0, San Agustin",No geocodificable,No encontrado,No encontrado
"13 De Julio 257, Matara",No geocodificable,No encontrado,No encontrado
"13A, Ventanilla",No geocodificable,No encontrado,No encontrado
"14 De Agosto 560, Namora",No geocodificable,No encontrado,No encontrado
"14 De Agosto 642, Namora",No geocodificable,No encontrado,No encontrado
"15 De Agosto 19, Rupa-Rupa",No geocodificable,No encontrado,No encontrado
"17 235, Ventanilla",No geocodificable,No encontrado,No encontrado
"18 De Enero 0 23, La Victoria",No geocodificable,No encontrado,No encontrado
18 De Octubre 229,No geocodificable,No encontrado,No encontrado
"19 De Julio Pto 22, Independencia",No geocodificable,No encontrado,No encontrado
"22 De Febrero 1280, La Esperanza",No geocodificable,No encontrado,No encontrado
22 De Octubre 435,No geocodificable,No encontrado,No encontrado
"23 De Marzo 0, Ventanilla",No geocodificable,No encontrado,No encontrado
"24 0 4, Ventanilla",No geocodificable,No encontrado,No encontrado
"24 De Junio 0, San Jeronimo",No geocodificable,No encontrado,No encontrado
24 De Junio 332,No geocodificable,No encontrado,No encontrado
"24 De Junio Erapata 0, San Jeronimo",No geocodificable,No encontrado,No encontrado
"24 De Junio Esq. Cementerio 0, San Jeronimo",No geocodificable,No encontrado,No encontrado
"24 De Junio S/N, Jaqui",No geocodificable,No encontrado,No encontrado
"25 De Abril 5, La Perla",No geocodificable,No encontrado,No encontrado
"26A, Castilla",No geocodificable,No encontrado,No encontrado
27 De Noviembre 349,No geocodificable,No encontrado,No encontrado
"27 M-Q L-22 0, Callao",No geocodificable,No encontrado,No encontrado
"27 Mq L23 27, Callao",No geocodificable,No encontrado,No encontrado
"28 De Julio 0 12A, Santa",No geocodificable,No encontrado,No encontrado
"28 De Julio 0, Santo Tomas",No geocodificable,No encontrado,No encontrado
"28 De Julio 100, Santo Tomas",No geocodificable,No encontrado,No encontrado
28 De Julio 164,No geocodificable,No encontrado,No encontrado
28 De Julio 230,No geocodificable,No encontrado,No encontrado
"28 De Julio 304 0, Santo Tomas",No geocodificable,No encontrado,No encontrado
"28 De Julio 348, San Miguel",No geocodificable,No encontrado,No encontrado
"28 De Julio 1257, La Victoria",No geocodificable,No encontrado,No encontrado
28 De Julio 1721,No geocodificable,No encontrado,No encontrado
"28 De Julio 2718, La Victoria",No geocodificable,No encontrado,No encontrado
28 De Julio - Psto. 2,No geocodificable,No encontrado,No encontrado
"28 De Julio , Mza. 6 , Lote 2 A, Chao",No geocodificable,No encontrado,No encontrado
28 De Julio S/N 0,No geocodificable,No encontrado,No encontrado
28 De Julio S/N Mercado Centra 0,No geocodificable,No encontrado,No encontrado
28 De Julio S/N S/N,No geocodificable,No encontrado,No encontrado
30 De Agosto 0,No geocodificable,No encontrado,No encontrado
30 De Agosto 760,No geocodificable,No encontrado,No encontrado
"30 De Setiembre 0 1, San Jeronimo",No geocodificable,No encontrado,No encontrado
"30 De Setiembre 6 B 6, San Jeronimo",No geocodificable,No encontrado,No encontrado
"30De Setiembre 2, San Jeronimo",No geocodificable,No encontrado,No encontrado
"32 6, Atico",No geocodificable,No encontrado,No encontrado
"39 162, Bellavista",No geocodificable,No encontrado,No encontrado
"72 C, Bellavista",No geocodificable,No encontrado,No encontrado
"150 Izquierdo 11, Ventanilla",No geocodificable,No encontrado,No encontrado
"225Sector D Grupo D3Pach 15, Ventanilla",No geocodificable,No encontrado,No encontrado
"497 A, La Perla",No geocodificable,No encontrado,No encontrado
"2000 0 2, Ventanilla",No geocodificable,No encontrado,No encontrado
"43475 0 6, Ventanilla",No geocodificable,No encontrado,No encontrado
"43500 0 122, Ventanilla",No geocodificable,No encontrado,No encontrado
"43640 . 44, Cayma",No geocodificable,No encontrado,No encontrado
"43674 629, Pangoa",No geocodificable,No encontrado,No encontrado
"041530 11, Castilla",No geocodificable,No encontrado,No encontrado
"1444292 0, Ate",No geocodificable,No encontrado,No encontrado
- -,No geocodificable,No encontrado,No encontrado
"-392 1, Ventanilla",No geocodificable,No encontrado,No encontrado
". 0 1, San Martin De Porres",No geocodificable,No encontrado,No encontrado
". 0 6, Bellavista",No geocodificable,No encontrado,No encontrado
". 0 13, Callao",No geocodificable,No encontrado,No encontrado
". 0 19, Bellavista",No geocodificable,No encontrado,No encontrado
". 0 44, Callao",No geocodificable,No encontrado,No encontrado
". 0 47, Callao",No geocodificable,No encontrado,No encontrado
". . 14 A, Bellavista",No geocodificable,No encontrado,No encontrado
". Av. San Mart?N Mz. B Lte. 0, Ate",No geocodificable,No encontrado,No encontrado
"A 2, Jose Luis Bustamante",No geocodificable,No encontrado,No encontrado
"A 46, Ate",No geocodificable,No encontrado,No encontrado
"A.H.Alan Garcia Perez 6 L, Olmos",No geocodificable,No encontrado,No encontrado
"A.H.Bocanegra S Iii 01 D36, Callao",No geocodificable,No encontrado,No encontrado
"A.H.Los Jardines 25 A, Pueblo Nuevo",No geocodificable,No encontrado,No encontrado
"A.H.Ramos Larrea Mercado Mode D, Imperial",No geocodificable,No encontrado,No encontrado
"A.H.San Martin 01 A, Sechura",No geocodificable,No encontrado,No encontrado
"A.H.Villa Alejandro 13 A, Lurin",No geocodificable,No encontrado,No encontrado
"Aa.Hh Cosmo Visionpachacute . 3, Ventanilla",No geocodificable,No encontrado,No encontrado
